submission_pk,User,b'Accuracy',b'Wish F1 Score',b'Another F1 Score',b'Comfortably F1 Score',b'Money F1 Score',b'Breathe F1 Score',b'Time F1 Score',b'Brain F1 Score',b'Echoes F1 Score',b'Wearing F1 Score',b'Sorrow F1 Score',b'Hey F1 Score',b'Shine F1 Score'
274005,AndreaBorsatto,0.7369 (32),0.4167 (31),0.6111 (154),0.9492 (50),0.5542 (119),0.0870 (122),0.3882 (177),0.8268 (175),0.4333 (18),0.9750 (8),0.7969 (22),0.9804 (4),0.2857 (74),
274313,leonardolonghi,0.7369 (32),0.3636 (45),0.7075 (12),0.9582 (20),0.5598 (96),0.0385 (145),0.4615 (55),0.8483 (98),0.4615 (5),0.9448 (37),0.7902 (44),0.9278 (30),0.1304 (146),
275255,SimoneGiampa,0.7369 (32),0.2778 (67),0.6622 (65),0.9468 (54),0.5757 (55),0.1404 (91),0.4762 (31),0.8527 (85),0.3881 (51),0.9747 (9),0.7879 (60),0.9320 (27),0.1778 (125),
273514,Howny,0.7363 (33),0.4286 (27),0.5676 (211),0.9518 (41),0.5529 (125),0.1224 (104),0.4731 (36),0.8546 (76),0.4571 (6),0.9487 (33),0.7982 (19),0.9515 (14),0.3077 (61),
273525,PhatCat,0.7363 (33),0.4286 (27),0.5676 (211),0.9518 (41),0.5529 (125),0.1224 (104),0.4731 (36),0.8546 (76),0.4571 (6),0.9487 (33),0.7982 (19),0.9515 (14),0.3077 (61),
274283,pollomarzo,0.7363 (33),0.4000 (34),0.5833 (192),0.9456 (57),0.5643 (84),0.1509 (85),0.4632 (51),0.8629 (53),0.4789 (2),0.9686 (13),0.7905 (43),0.9259 (32),0.2917 (71),
273503,amirhossein.zhalehmehrabi,0.7357 (34),0.2500 (75),0.6410 (99),0.9330 (98),0.5763 (53),0.1091 (110),0.4947 (8),0.8598 (62),0.3947 (46),0.9448 (37),0.7900 (46),0.9184 (37),0.3333 (45),
273771,Mapo,0.7357 (34),0.3784 (41),0.5143 (249),0.9719 (4),0.5797 (50),0.1961 (57),0.4746 (33),0.8826 (20),0.4384 (14),0.9481 (34),0.7787 (108),0.9703 (6),0.1429 (141),
273845,mahshid.shiri,0.7357 (34),0.2500 (75),0.6410 (99),0.9330 (98),0.5763 (53),0.1091 (110),0.4947 (8),0.8598 (62),0.3947 (46),0.9448 (37),0.7900 (46),0.9184 (37),0.3333 (45),
273875,enrico.zuccolotto,0.7357 (34),0.2759 (68),0.7114 (9),0.9551 (29),0.5731 (63),0.1569 (82),0.3713 (224),0.8475 (100),0.4242 (25),0.9481 (34),0.7818 (89),0.9278 (30),0.2857 (74),
273952,bakirrajaa,0.7357 (34),0.2500 (75),0.6410 (99),0.9330 (98),0.5763 (53),0.1091 (110),0.4947 (8),0.8598 (62),0.3947 (46),0.9448 (37),0.7900 (46),0.9184 (37),0.3333 (45),
275394,Haruhiro,0.7357 (34),0.2759 (68),0.7114 (9),0.9551 (29),0.5731 (63),0.1569 (82),0.3713 (224),0.8475 (100),0.4242 (25),0.9481 (34),0.7818 (89),0.9278 (30),0.2857 (74),
273775,LukeCassi,0.7351 (35),0.3529 (49),0.6625 (64),0.9266 (121),0.5855 (41),0.0833 (124),0.4293 (109),0.8544 (79),0.4225 (26),0.9542 (27),0.7929 (37),0.9412 (21),0.2400 (98),
273777,AlexRouge,0.7351 (35),0.4444 (23),0.6575 (72),0.9492 (50),0.5743 (59),0.2083 (51),0.4468 (77),0.8449 (110),0.3881 (51),0.9620 (19),0.7742 (140),0.9703 (6),0.2979 (67),
274952,alessandro.solinas,0.7351 (35),0.2857 (66),0.6667 (63),0.9582 (20),0.5462 (147),0.0000 (151),0.4331 (104),0.8552 (75),0.4138 (33),0.9750 (8),0.7733 (149),0.9375 (24),0.0571 (163),
275957,luigi.bertoncini,0.7351 (35),0.3448 (50),0.6667 (63),0.9640 (11),0.5714 (68),0.2593 (25),0.4141 (133),0.8794 (23),0.4186 (29),0.9565 (23),0.7755 (136),0.9184 (37),0.2609 (89),
276133,joan.bushi,0.7351 (35),0.3448 (50),0.6667 (63),0.9640 (11),0.5714 (68),0.2593 (25),0.4141 (133),0.8794 (23),0.4186 (29),0.9565 (23),0.7755 (136),0.9184 (37),0.2609 (89),
275739,nnethercott,0.7345 (36),0.4865 (11),0.6338 (114),0.9379 (81),0.5749 (58),0.1633 (79),0.4663 (46),0.8303 (158),0.3684 (69),0.9620 (19),0.7911 (41),0.9485 (17),0.3019 (65),
273690,Tommaso_Aiello,0.7338 (37),0.4211 (29),0.6883 (33),0.9127 (160),0.5532 (123),0.0465 (137),0.3956 (164),0.8623 (55),0.3279 (100),0.9620 (19),0.7955 (28),0.8824 (64),0.2174 (108),
273817,Erika,0.7338 (37),0.4000 (34),0.6806 (41),0.9408 (72),0.5660 (77),0.0000 (151),0.4520 (71),0.8532 (83),0.3836 (55),0.9634 (16),0.7808 (97),0.9091 (43),0.2727 (82),
274398,riccardoluigi.aielli,0.7338 (37),0.3636 (45),0.6569 (75),0.9605 (16),0.5349 (184),0.1481 (87),0.3886 (176),0.8565 (68),0.4324 (19),0.9620 (19),0.7929 (36),0.9608 (9),0.1778 (125),
275569,nicolo.fasulo,0.7338 (37),0.4211 (29),0.6883 (33),0.9127 (160),0.5532 (123),0.0465 (137),0.3956 (164),0.8623 (55),0.3279 (100),0.9620 (19),0.7955 (28),0.8824 (64),0.2174 (108),
275573,lucafornasari,0.7338 (37),0.4211 (29),0.6883 (33),0.9127 (160),0.5532 (123),0.0465 (137),0.3956 (164),0.8623 (55),0.3279 (100),0.9620 (19),0.7955 (28),0.8824 (64),0.2174 (108),
273756,benjamin.natali,0.7332 (38),0.3030 (59),0.6581 (70),0.9516 (42),0.5537 (122),0.1667 (77),0.4468 (77),0.8677 (41),0.4179 (30),0.9500 (31),0.7879 (60),0.9307 (28),0.3111 (58),
275666,MatteoCercola,0.7332 (38),0.3750 (42),0.6490 (85),0.9428 (65),0.5851 (42),0.1481 (87),0.4211 (121),0.8455 (107),0.2941 (128),0.9750 (8),0.7773 (120),0.9615 (8),0.2667 (86),
276173,Oswaldo.Morales,0.7332 (38),0.3333 (53),0.7123 (8),0.9474 (53),0.5755 (56),0.1818 (66),0.4270 (113),0.8367 (136),0.3562 (77),0.9615 (20),0.7729 (150),0.9495 (16),0.2667 (86),
274224,emnb,0.7326 (39),0.3448 (50),0.6871 (35),0.9243 (129),0.5857 (39),0.0417 (142),0.4458 (79),0.8435 (113),0.3529 (79),0.9686 (13),0.7818 (90),0.8090 (116),0.2927 (70),
274350,Jesse,0.7326 (39),0.3429 (51),0.6575 (72),0.9465 (55),0.5513 (131),0.0000 (151),0.4079 (146),0.8430 (116),0.4000 (44),0.9747 (9),0.7840 (80),0.9412 (21),0.1538 (136),
275098,Davide_Rigamonti,0.7326 (39),0.3243 (54),0.6753 (54),0.9584 (19),0.6047 (14),0.0816 (125),0.4233 (117),0.8298 (161),0.3143 (113),0.9512 (29),0.7770 (124),0.9804 (4),0.2745 (81),
274622,LesSimon,0.7320 (40),0.4242 (28),0.6577 (71),0.9468 (54),0.5645 (83),0.2545 (26),0.4124 (135),0.8538 (80),0.3768 (62),0.9686 (13),0.7783 (111),0.9200 (36),0.3200 (52),
274017,olmonotarianni,0.7307 (41),0.1176 (106),0.6620 (67),0.9348 (91),0.5388 (170),0.1250 (102),0.4815 (23),0.8920 (7),0.2500 (159),0.9349 (51),0.7802 (100),0.8600 (83),0.2759 (80),
275069,aleasto,0.7307 (41),0.4000 (34),0.6447 (92),0.9548 (30),0.5741 (60),0.2812 (17),0.4301 (108),0.8831 (19),0.3529 (79),0.9615 (20),0.7689 (181),0.9231 (34),0.2500 (93),
275997,MartinBronzo,0.7307 (41),0.4000 (34),0.6447 (92),0.9548 (30),0.5741 (60),0.2812 (17),0.4301 (108),0.8831 (19),0.3529 (79),0.9615 (20),0.7689 (181),0.9231 (34),0.2500 (93),
275998,salvatore_buono,0.7307 (41),0.4242 (28),0.6154 (146),0.9535 (34),0.5394 (165),0.1818 (66),0.3892 (175),0.8363 (138),0.4444 (9),0.9615 (20),0.7917 (39),0.9346 (25),0.2273 (104),
