submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSD,RMSD,Precision at 50% overlap,Recall at 50% overlap,Precision at >0% overlap,Recall at >0% overlap
Exception parsing scores!
submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSSD,MSSD
951180,Pieterj4n,0.9450 (24),0.9590 (13),0.090 (29),128.599 (101),130.340 (212),180.535 (202),133.723 (218),
953206,SD,0.9430 (25),0.9500 (22),0.105 (44),0.066 (84),3.027 (149),102.919 (175),10.188 (172),
653343,muyaAI3713,0.9430 (25),0.9670 (5),0.089 (28),128.664 (102),129.954 (211),154.071 (197),131.378 (217),
587781,hhhh,0.9430 (25),0.9460 (26),0.098 (37),0.140 (92),4.081 (167),130.865 (189),12.424 (182),
530858,wutianxin,0.9430 (25),0.9470 (25),0.107 (46),-0.006 (38),11.737 (201),284.260 (218),38.203 (210),
499323,Jonelxg,0.9430 (25),0.9440 (28),0.107 (46),-0.056 (11),1.888 (109),30.907 (97),3.619 (97),
1126767,xiatingjian,0.9410 (26),0.9410 (31),0.110 (49),0.019 (63),2.555 (129),48.453 (147),5.795 (136),
606190,styer,0.9410 (26),0.9460 (26),0.111 (50),-0.060 (10),1.918 (110),30.993 (98),3.663 (101),
459319,summer,0.9410 (26),0.9450 (27),0.108 (47),-0.066 (9),6.552 (187),152.359 (196),17.577 (194),
864419,logic,0.9400 (27),0.9410 (31),0.111 (50),0.075 (86),2.232 (120),33.358 (113),4.647 (125),
859089,Shrijeet16,0.9400 (27),0.9410 (31),0.112 (51),0.002 (46),5.024 (175),140.764 (191),15.335 (186),
753234,qiuyh,0.9390 (28),0.9420 (30),0.113 (52),-0.021 (28),2.800 (139),41.562 (132),6.400 (139),
524867,HQU_MIP,0.9390 (28),0.9320 (37),0.113 (52),-0.014 (34),3.410 (158),42.696 (136),7.317 (151),
900513,Deepak,0.9380 (29),0.9400 (32),0.116 (54),-0.072 (7),2.084 (115),32.802 (109),3.960 (111),
508128,ChinaLXQ,0.9380 (29),0.9440 (28),0.114 (53),-0.018 (30),9.356 (197),141.049 (192),23.415 (202),
540131,hongki,0.9370 (30),0.9420 (30),0.117 (55),-0.045 (16),7.583 (192),253.818 (213),22.610 (200),
531894,SZU512,0.9370 (30),0.9490 (23),0.110 (49),0.100 (89),2.036 (114),31.283 (102),3.987 (113),
437042,ken_rowe,0.9370 (30),0.9450 (27),0.116 (54),-0.047 (14),7.881 (193),191.792 (204),24.341 (204),
470326,legendhua,0.9370 (30),0.9460 (26),0.104 (43),0.022 (66),2.210 (118),28.648 (83),3.994 (115),
471562,Jangho_Kwon,0.9370 (30),0.9420 (30),0.109 (48),-0.021 (28),9.587 (200),127.313 (188),19.264 (198),
479788,qpswwww,0.9370 (30),0.9480 (24),0.106 (45),0.016 (60),4.913 (174),37.115 (119),7.120 (148),
916987,kangzhang1,0.9360 (31),0.9390 (33),0.119 (56),0.041 (78),7.105 (189),197.745 (206),22.681 (201),
438042,black_sesame,0.9360 (31),0.9410 (31),0.119 (56),-0.040 (17),7.464 (190),191.595 (203),23.808 (203),
481173,hyukist,0.9360 (31),0.9220 (42),0.108 (47),0.434 (97),4.352 (171),105.524 (179),11.080 (177),
1146933,Nano_Cat,0.9350 (32),0.9370 (34),0.122 (59),0.089 (88),4.350 (170),115.839 (185),12.106 (181),
1134061,taojlu,0.9350 (32),0.9440 (28),0.119 (56),0.024 (68),4.176 (169),145.906 (194),13.323 (184),
594413,xiaoyan,0.9350 (32),0.9430 (29),0.108 (47),128.588 (100),134.761 (213),278.808 (217),146.766 (219),
499705,zhengzhihua,0.9350 (32),0.9460 (26),0.119 (56),-0.034 (20),13.171 (202),276.904 (216),41.799 (211),
498489,Yiwei,0.9350 (32),0.9450 (27),0.121 (58),-0.032 (21),2.258 (121),29.326 (88),3.972 (112),
488378,Namo,0.9340 (33),0.9320 (37),0.121 (58),-0.055 (12),3.247 (154),40.081 (126),6.443 (142),
969391,zzzzz4,0.9330 (34),0.9330 (36),0.123 (60),0.026 (70),5.973 (183),118.186 (186),15.524 (189),
970096,zzzzzzzzzzzz1,0.9330 (34),0.9320 (37),0.123 (60),0.030 (72),6.164 (184),114.298 (182),16.249 (191),
