submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
601758,cseligson,- (-),,
575088,Mjason,- (-),,
659106,ChengyiZhao,- (-),,
819364,sn914,- (-),,
814450,zyz208,- (-),,
814258,billpwchan,- (-),,
817334,ymzhang,- (-),,
813241,yw720,- (-),,
822465,acc19hj,- (-),,
815810,JM_,- (-),,
819490,AtomAtijit,- (-),,
680142,shengwei_wang,- (-),,
809172,theocheynel,- (-),,
679652,jerryzjy,- (-),,
604901,rtdesetty,- (-),,
687334,APOCALYPSE,- (-),,
817388,ik517,- (-),,
686831,Bryce-Yang-Li,- (-),,
815344,Haoguo,- (-),,
683250,Cassiel,- (-),,
647923,sgallon,- (-),,
579317,heidy,- (-),,
818425,JN,- (-),,
817406,hz520,- (-),,
681733,Babyyang525,- (-),,
640265,Murphy-MIAOYuanzhi,- (-),,
816908,yizhiai1994,- (-),,
817422,RamPopat,- (-),,
825103,simonqin,- (-),,
687377,Klaus,- (-),,
816402,vadimbec,- (-),,
685844,ChenMeng,- (-),,
814359,pathend98,- (-),,
816410,jtang98,- (-),,
828706,snow2512,- (-),,
604451,theoliao,- (-),,
679204,Michaelmatao,- (-),,
646951,hokyeejau,- (-),,
680236,FangzhouSun,- (-),,
586551,Jiajun,- (-),,
576315,ttzhang,- (-),,
737085,SparkersTroy,- (-),,
814402,jfeitz,- (-),,
680262,Faye-Wu,- (-),,
818512,my1817,- (-),,
816358,sa3120,- (-),,
680294,Gao123456,- (-),,
680297,this-is-Aaron,- (-),,
649578,hokyeejau2,- (-),,
687469,Ganmin-Wu,- (-),,
658802,zblcving,- (-),,
818547,yz10020,- (-),,
687478,xiafanzeng,- (-),,
658810,shallowZzz,- (-),,
657790,YuWang17,- (-),,
657794,RasalasJau,- (-),,
680323,Bryce,- (-),,
656772,nopeAAA,- (-),,
589189,Buhscitu,- (-),,
655756,arunaav,- (-),,
677265,juliaive,- (-),,
680338,zztxnh,- (-),,
687524,HuangTao,- (-),,
811429,ed_hayes_icl,- (-),,
829351,William_yan,- (-),,
655274,ZiyangLin,- (-),,
829425,BillChen2k,- (-),,
817080,xc220,- (-),,
680384,kilometer,- (-),,
810433,paragrapharamus,- (-),,
687044,Trigger,- (-),,
677319,JacobHongbo,- (-),,
678356,Qitong,- (-),,
818645,Xian.Zhao,- (-),,
686554,Eric_YuMo,- (-),,
818651,nc1517,- (-),,
646624,docekal,- (-),,
647145,Murphy-MIAO-YuanZhi,- (-),,
818666,YunMao,- (-),,
659948,lorettaxux,- (-),,
815430,DanMarwanAnna,- (-),,
786934,joe_stacey,- (-),,
816126,jce317,- (-),,
