submission_pk,User,mIoU,accuracy,Ground,High Vegetation,Buildings,Walls,Bridge,Parking,Rail,traffic Roads,Street Furniture,Cars,Footpath,Bikes,Water
1019549,xxxxxie,0.5560 (39),0.9140 (26),0.8410 (22),0.9810 (9),0.9450 (17),0.5510 (40),0.6080 (16),0.4620 (38),0.1080 (45),0.5130 (39),0.3630 (53),0.7880 (36),0.3760 (38),0.0000 (28),0.6880 (38),
1136908,Pengfeiii,0.5550 (40),0.9180 (22),0.8460 (18),0.9820 (8),0.9340 (28),0.5860 (29),0.3780 (42),0.5390 (28),0.1290 (38),0.5610 (30),0.3960 (40),0.7880 (36),0.3780 (36),0.0000 (28),0.6970 (35),
1137437,Kamidesi,0.5540 (41),0.9190 (21),0.8370 (25),0.9820 (8),0.9480 (14),0.5090 (47),0.5390 (29),0.6020 (7),0.0690 (47),0.5610 (30),0.3810 (49),0.7680 (42),0.3890 (33),0.0000 (28),0.6140 (52),
1043406,ZghRSGIS1122,0.5450 (42),0.9140 (26),0.8400 (23),0.9830 (7),0.9380 (24),0.5740 (34),0.4090 (39),0.4450 (39),0.0810 (46),0.5290 (34),0.3900 (44),0.7920 (33),0.3670 (41),0.0000 (28),0.7390 (28),
929447,kcliu,0.5450 (42),0.9150 (25),0.8440 (20),0.9830 (7),0.9420 (20),0.5580 (37),0.3570 (44),0.4940 (36),0.1250 (40),0.5200 (37),0.3950 (41),0.7830 (37),0.3580 (42),0.0000 (28),0.7270 (29),
957614,astaurab,0.5440 (43),0.9120 (28),0.8390 (24),0.9830 (7),0.9440 (18),0.5720 (35),0.4910 (33),0.4390 (40),0.1240 (41),0.5070 (42),0.3830 (47),0.7950 (31),0.3700 (39),0.0000 (28),0.6280 (48),
892450,linhai,0.5440 (43),0.9130 (27),0.8400 (23),0.9820 (8),0.9440 (18),0.5860 (29),0.3880 (41),0.4870 (37),0.1450 (36),0.5100 (40),0.3820 (48),0.7970 (29),0.3480 (44),0.0000 (28),0.6650 (44),
1147406,Xiu,0.5320 (44),0.9080 (31),0.8350 (27),0.9820 (8),0.9420 (20),0.5260 (44),0.4610 (38),0.4370 (41),0.1270 (39),0.4790 (44),0.3600 (54),0.7470 (47),0.3470 (45),0.0000 (28),0.6760 (40),
959606,chenguolin,0.5260 (45),0.9120 (28),0.8440 (20),0.9820 (8),0.9430 (19),0.5510 (40),0.3110 (49),0.4310 (42),0.1210 (43),0.5080 (41),0.3890 (45),0.7780 (39),0.3470 (45),0.0000 (28),0.6370 (47),
960354,daimiaomiao,0.5230 (46),0.9080 (31),0.8360 (26),0.9810 (9),0.9390 (23),0.5920 (27),0.2590 (52),0.4030 (44),0.0640 (48),0.4990 (43),0.4200 (35),0.8060 (26),0.3830 (34),0.0000 (28),0.6190 (51),
1142890,wangyc1219,0.5160 (47),0.9050 (32),0.8350 (27),0.9790 (11),0.9320 (29),0.5250 (45),0.2910 (50),0.3510 (46),0.1100 (44),0.4680 (46),0.3850 (46),0.7890 (35),0.3680 (40),0.0000 (28),0.6690 (43),
966045,GZ_F,0.5140 (48),0.8930 (36),0.8050 (35),0.9820 (8),0.9160 (34),0.5500 (41),0.1420 (55),0.3790 (45),0.2130 (25),0.4760 (45),0.3590 (55),0.7630 (43),0.3280 (47),0.0000 (28),0.7650 (18),
956269,TimGor,0.5110 (49),0.9110 (29),0.7910 (37),0.9860 (4),0.9560 (8),0.7240 (6),0.3350 (45),0.3250 (48),0.0000 (49),0.5160 (38),0.4370 (31),0.8250 (14),0.1420 (52),0.0000 (28),0.5980 (54),
1006302,James1,0.5030 (50),0.8940 (35),0.7580 (39),0.9470 (15),0.8990 (35),0.4590 (49),0.2390 (53),0.3430 (47),0.1850 (30),0.6070 (12),0.3600 (54),0.7330 (48),0.3380 (46),0.0000 (28),0.6740 (41),
1109941,zhanlixinnana,0.5010 (51),0.8960 (34),0.8240 (31),0.9790 (11),0.9270 (32),0.5760 (33),0.2680 (51),0.3080 (49),0.1240 (41),0.4460 (48),0.3790 (50),0.7770 (40),0.3140 (48),0.0000 (28),0.5890 (55),
1126370,flyking,0.4910 (52),0.8960 (34),0.8360 (26),0.9820 (8),0.9370 (25),0.5800 (31),0.3340 (46),0.0820 (50),0.1220 (42),0.4200 (49),0.3680 (52),0.7700 (41),0.3380 (46),0.0000 (28),0.6110 (53),
976227,CurryYuann,0.4620 (53),0.8930 (36),0.8350 (27),0.9800 (10),0.9400 (22),0.5220 (46),0.1800 (54),0.0530 (52),0.0000 (49),0.4060 (51),0.3220 (58),0.7600 (45),0.3070 (49),0.0820 (16),0.6250 (50),
960955,ZhaoxinFan,0.4440 (54),0.8890 (37),0.8190 (32),0.9780 (12),0.9160 (34),0.5220 (46),0.0460 (56),0.0010 (53),0.0000 (49),0.4090 (50),0.3720 (51),0.7530 (46),0.2920 (50),0.0000 (28),0.6620 (45),
1143041,fly9527,0.4310 (55),0.9020 (33),0.8270 (30),0.9850 (5),0.9410 (21),0.6000 (24),0.0050 (57),0.0590 (51),0.0000 (49),0.4520 (47),0.3440 (57),0.7610 (44),0.1880 (51),0.0000 (28),0.4420 (56),
962382,desperado_,0.3130 (56),0.8360 (39),0.7230 (41),0.9650 (13),0.8990 (35),0.3660 (50),0.0000 (58),0.0000 (54),0.0000 (49),0.2820 (53),0.0840 (59),0.6190 (49),0.0000 (53),0.0000 (28),0.1310 (57),
1146183,s11_1,0.2820 (57),0.8400 (38),0.7390 (40),0.9400 (17),0.8140 (36),0.2860 (51),0.0000 (58),0.0000 (54),0.0000 (49),0.3550 (52),0.0010 (60),0.5310 (50),0.0000 (53),0.0000 (28),0.0000 (58),
